110.3703019618988   : ->BMS     : 31 02 02 | 2d 0f
110.40316677093506  : <-BMS     : 31 82 0f | 02 15 00 00 00 01 64 00 00 00 1c 1c 1c 1c 1c
110.46707701683044  : ->FOC     : 20 01 01 | 03
110.5850477218628   : ->Dash    : 10 04 0f | 82 00 01 00 1e 40 00 00 00 00 64 00 cc cc be
110.6647732257843   : ->FOC     : 20 01 01 | 03
110.76585960388184  : ->BMS     : 31 02 02 | 2d 0f
110.79807162284851  : <-BMS     : 31 82 0f | 02 15 00 00 00 01 64 00 00 00 1c 1c 1c 1c 1c
110.86832332611084  : ->FOC     : 20 01 01 | 03
110.98524284362793  : ->Dash    : 10 04 0f | 82 00 01 00 1e 40 00 00 00 00 64 00 cc cc be
111.0654284954071   : ->FOC     : 20 01 01 | 03
111.1830677986145   : ->Dash    : 10 04 0f | 82 00 01 00 1e 40 00 00 00 00 64 00 cc cc be
111.2681052684784   : ->BMS     : 31 02 02 | 2d 0f
111.29972767829895  : <-BMS     : 31 82 0f | 02 15 00 00 00 01 64 00 00 00 1c 1c 1c 1c 1c
111.37564826011658  : ->FOC     : 20 02 02 | 05 08
111.48663091659546  : ->Dash    : 10 04 0f | 82 00 01 00 1e 40 00 00 00 00 64 00 cc cc be
111.57645535469055  : ->BMS     : 31 02 02 | 2d 0f
111.60881471633911  : <-BMS     : 31 82 0f | 02 15 00 00 00 01 64 00 00 00 1c 1c 1c 1c 1c
111.67214751243591  : ->FOC     : 20 02 02 | 05 08
111.78460884094238  : ->Dash    : 10 04 0f | 82 00 01 00 1e 40 00 00 00 00 64 00 cc cc be
111.87487530708313  : ->BMS     : 31 02 02 | 2d 0f
111.90071630477905  : <-BMS     : 31 82 0f | 02 15 00 00 00 00 64 00 00 00 1c 1c 1c 1c 1c
111.97135782241821  : ->FOC     : 20 02 02 | 05 08
112.09341025352478  : ->Dash    : 10 04 0f | 82 00 01 00 1e 40 00 00 00 00 64 00 cc cc be
112.17814898490906  : ->BMS     : 31 02 02 | 2d 0f
112.2098138332367   : <-BMS     : 31 82 0f | 02 15 00 00 00 01 64 00 00 00 1c 1c 1c 1c 1c
112.27406358718872  : ->FOC     : 20 02 02 | 05 08
112.38931584358215  : ->Dash    : 10 04 0f | 82 00 01 00 1e 40 00 00 00 00 64 00 cc cc be
112.4737708568573   : ->BMS     : 31 02 02 | 2d 0f
112.50566577911377  : <-BMS     : 31 82 0f | 02 15 00 00 00 01 64 00 00 00 1c 1c 1c 1c 1c
112.57979726791382  : ->FOC     : 20 02 02 | 05 08
112.68944358825684  : ->Dash    : 10 04 0f | 82 00 01 00 1e 40 00 00 00 00 64 00 cc cc be
112.77839064598083  : ->BMS     : 31 02 02 | 2d 0f
112.81033086776733  : <-BMS     : 31 82 0f | 02 15 00 00 00 01 64 00 00 00 1c 1c 1c 1c 1c
112.87949681282043  : ->FOC     : 20 02 02 | 05 08
112.99001717567444  : ->Dash    : 10 04 0f | 82 00 01 00 1e 40 00 00 00 00 64 00 cc cc be
113.07231092453003  : ->BMS     : 31 02 02 | 2d 0f
113.11335515975952  : <-BMS     : 31 82 0f | 02 15 00 00 00 01 64 00 00 00 1c 1c 1c 1c 1c
113.18313980102539  : ->FOC     : 20 02 02 | 05 08
113.29060387611389  : ->Dash    : 10 04 0f | 82 00 01 00 1e 40 00 00 00 00 64 00 cc cc be
113.37468004226685  : ->BMS     : 31 02 02 | 2d 0f
113.41411519050598  : <-BMS     : 31 82 0f | 02 15 00 00 00 01 64 00 00 00 1c 1c 1c 1c 1c
113.4806911945343   : ->FOC     : 20 02 02 | 05 08
113.59023141860962  : ->Dash    : 10 04 0f | 82 00 01 00 1e 40 00 00 00 00 64 00 cc cc be
113.6756591796875   : ->BMS     : 31 02 02 | 2d 0f
113.70734930038452  : <-BMS     : 31 82 0f | 02 15 00 00 00 01 64 00 00 00 1c 1c 1c 1c 1c
113.78786587715149  : ->FOC     : 20 02 02 | 05 08
113.8932991027832   : ->Dash    : 10 04 0f | 82 00 01 00 1e 40 00 00 00 00 64 00 cc cc be
113.9852385520935   : ->BMS     : 31 02 02 | 2d 0f
114.00633645057678  : <-BMS     : 31 82 0f | 02 15 00 00 00 00 64 00 00 00 1c 1c 1c 1c 1c
114.08617043495178  : ->FOC     : 20 02 02 | 05 08
114.1972963809967   : ->Dash    : 10 04 0f | 82 00 01 00 1e 40 00 00 00 00 64 00 cc cc be
114.27920579910278  : ->BMS     : 31 02 02 | 2d 0f
114.31165099143982  : <-BMS     : 31 82 0f | 02 15 00 00 00 01 64 00 00 00 1c 1c 1c 1c 1c
114.37622690200806  : ->FOC     : 20 02 02 | 05 08
114.49496650695801  : ->Dash    : 10 04 0f | 82 00 01 00 1e 40 00 00 00 00 64 00 cc cc be
114.57998657226562  : ->BMS     : 31 02 02 | 2d 0f
114.61176919937134  : <-BMS     : 31 82 0f | 02 15 00 00 00 01 64 00 00 00 1c 1c 1c 1c 1c
114.67827534675598  : ->FOC     : 20 02 02 | 05 08
114.79288578033447  : ->Dash    : 10 04 0f | 82 00 01 00 1e 40 00 00 00 00 64 00 cc cc be
114.87997436523438  : ->BMS     : 31 02 02 | 2d 0f
114.91191506385803  : <-BMS     : 31 82 0f | 02 15 00 00 00 01 64 00 00 00 1c 1c 1c 1c 1c
114.97986316680908  : ->FOC     : 20 02 02 | 05 08
115.09532308578491  : ->Dash    : 10 04 0f | 82 00 01 00 1e 40 00 00 00 00 64 00 cc cc be
115.18012738227844  : ->BMS     : 31 02 02 | 2d 0f
115.211829662323    : <-BMS     : 31 82 0f | 02 15 00 00 00 01 64 00 00 00 1c 1c 1c 1c 1c
115.28866291046143  : ->FOC     : 20 02 02 | 05 08
115.39798545837402  : ->Dash    : 10 04 0f | 82 00 01 00 1e 40 00 00 00 00 64 00 cc cc be
115.4832329750061   : ->BMS     : 31 02 02 | 2d 0f
115.5155017375946   : <-BMS     : 31 82 0f | 02 15 00 00 00 01 64 00 00 00 1c 1c 1c 1c 1c
115.58010578155518  : ->FOC     : 20 02 02 | 05 08
115.70005130767822  : ->Dash    : 10 04 0f | 82 00 01 00 1e 40 00 00 00 00 64 00 cc cc be
115.8050651550293   : ->BMS     : 31 02 02 | 2d 0f
115.8050651550293   : <-BMS     : 31 82 0f | 02 15 00 00 00 01 64 00 00 00 1c 1c 1c 1c 1c
115.890695810318    : ->FOC     : 20 02 02 | 05 08
115.9962682723999   : ->Dash    : 10 04 0f | 82 00 01 00 1e 40 00 00 00 00 64 00 cc cc be
116.09065437316895  : ->BMS     : 31 02 02 | 2d 0f
116.11143231391907  : <-BMS     : 31 82 0f | 02 15 00 00 00 01 64 00 00 00 1c 1c 1c 1c 1c
116.18564701080322  : ->FOC     : 20 02 02 | 05 08
116.29725766181946  : ->Dash    : 10 04 0f | 82 00 01 00 1e 40 00 00 00 00 64 00 cc cc be
116.3832573890686   : ->BMS     : 31 02 02 | 2d 0f
116.41792416572571  : <-BMS     : 31 82 0f | 02 15 00 00 00 01 64 00 00 00 1c 1c 1c 1c 1c
116.49729347229004  : ->FOC     : 20 02 02 | 05 08
116.59821915626526  : ->Dash    : 10 04 0f | 82 00 01 00 1e 40 00 00 00 00 64 00 cc cc be
116.69025230407715  : ->BMS     : 31 02 02 | 2d 0f
116.72230410575867  : <-BMS     : 31 82 0f | 02 15 00 00 00 01 64 00 00 00 1c 1c 1c 1c 1c
116.78525590896606  : ->FOC     : 20 02 02 | 05 08
116.90202760696411  : ->Dash    : 10 04 0f | 82 00 01 00 1e 40 00 00 00 00 64 00 cc cc be
116.99200510978699  : ->BMS     : 31 02 02 | 2d 0f
117.01392078399658  : <-BMS     : 31 82 0f | 02 15 00 00 00 01 64 00 00 00 1c 1c 1c 1c 1c
117.09636235237122  : ->FOC     : 20 02 02 | 05 08
117.20697617530823  : ->Dash    : 10 04 0f | 82 00 01 00 1e 40 00 00 00 00 64 00 cc cc be
117.28843641281128  : ->BMS     : 31 02 02 | 2d 0f
117.32979369163513  : <-BMS     : 31 82 0f | 02 15 00 00 00 01 64 00 00 00 1c 1c 1c 1c 1c
117.39618039131165  : ->FOC     : 20 02 02 | 05 08
117.50183820724487  : ->Dash    : 10 04 0f | 82 00 01 00 1e 40 00 00 00 00 64 00 cc cc be
117.59029269218445  : ->BMS     : 31 02 02 | 2d 0f
117.6223635673523   : <-BMS     : 31 82 0f | 02 15 00 00 00 01 64 00 00 00 1c 1c 1c 1c 1c
117.69618105888367  : ->FOC     : 20 02 02 | 05 08
117.80513310432434  : ->Dash    : 10 04 0f | 82 00 01 00 1e 40 00 00 00 00 64 00 cc cc be
117.89039373397827  : ->BMS     : 31 02 02 | 2d 0f
117.92258596420288  : <-BMS     : 31 82 0f | 02 15 00 00 00 01 64 00 00 00 1c 1c 1c 1c 1c
117.98678708076477  : ->FOC     : 20 02 02 | 05 08
118.11217379570007  : ->Dash    : 10 04 0f | 82 00 01 00 1e 40 00 00 00 00 64 00 cc cc be
118.19245386123657  : ->BMS     : 31 02 02 | 2d 0f
118.2245991230011   : <-BMS     : 31 82 0f | 02 15 00 00 00 01 64 00 00 00 1c 1c 1c 1c 1c
118.2905502319336   : ->FOC     : 20 02 02 | 05 08
118.4080855846405   : ->Dash    : 10 04 0f | 82 00 01 00 1e 40 00 00 00 00 64 00 cc cc be
118.49244952201843  : ->BMS     : 31 02 02 | 2d 0f
118.52415943145752  : <-BMS     : 31 82 0f | 02 15 00 00 00 01 64 00 00 00 1c 1c 1c 1c 1c
118.59908103942871  : ->FOC     : 20 02 02 | 05 08
118.71046829223633  : ->Dash    : 10 04 0f | 82 00 01 00 1e 40 00 00 00 00 64 00 cc cc be
118.80141496658325  : ->BMS     : 31 02 02 | 2d 0f
118.82303190231323  : <-BMS     : 31 82 0f | 02 15 00 00 00 01 64 00 00 00 1c 1c 1c 1c 1c
118.89653086662292  : ->FOC     : 20 02 02 | 05 08
119.00920104980469  : ->Dash    : 10 04 0f | 82 00 01 00 1e 40 00 00 00 00 64 00 cc cc be
119.0994017124176   : ->BMS     : 31 02 02 | 2d 0f
119.12810587882996  : <-BMS     : 31 82 0f | 02 15 00 00 00 01 64 00 00 00 1c 1c 1c 1c 1c
119.19218111038208  : ->FOC     : 20 02 02 | 05 08
119.3110818862915   : ->Dash    : 10 04 0f | 82 00 01 00 1e 40 00 00 00 00 64 00 cc cc be
119.39111757278442  : ->BMS     : 31 02 02 | 2d 0f
119.42274498939514  : <-BMS     : 31 82 0f | 02 15 00 00 00 01 64 00 00 00 1c 1c 1c 1c 1c
119.50097417831421  : ->FOC     : 20 02 02 | 05 08
119.61345505714417  : ->Dash    : 10 04 0f | 82 00 01 00 1e 40 00 00 00 00 64 00 cc cc be
119.69977641105652  : ->BMS     : 31 02 02 | 2d 0f
119.72105836868286  : <-BMS     : 31 82 0f | 02 15 00 00 00 01 64 00 00 00 1c 1c 1c 1c 1c
119.79627752304077  : ->FOC     : 20 02 02 | 05 08
119.90822315216064  : ->Dash    : 10 04 0f | 82 00 01 00 1e 40 00 00 00 00 64 00 cc cc be
119.99568343162537  : ->BMS     : 31 02 02 | 2d 0f
120.02768969535828  : <-BMS     : 31 82 0f | 02 15 00 00 00 00 64 00 00 00 1c 1c 1c 1c 1c
120.09384179115295  : ->FOC     : 20 02 02 | 05 08
120.20833349227905  : ->Dash    : 10 04 0f | 82 00 01 00 1e 40 00 00 00 00 64 00 cc cc be
120.29580545425415  : ->BMS     : 31 02 02 | 2d 0f
120.32717037200928  : <-BMS     : 31 82 0f | 02 15 00 00 00 01 64 00 00 00 1c 1c 1c 1c 1c
120.3957781791687   : ->FOC     : 20 02 02 | 05 08
120.51219916343689  : ->Dash    : 10 04 0f | 82 00 01 00 1e 40 00 00 00 00 64 00 cc cc be
120.59606003761292  : ->BMS     : 31 02 02 | 2d 0f
120.62799096107483  : <-BMS     : 31 82 0f | 02 15 00 00 00 01 64 00 00 00 1c 1c 1c 1c 1c
120.69596695899963  : ->FOC     : 20 02 02 | 05 08
120.81571984291077  : ->Dash    : 10 04 0f | 82 00 01 00 1e 40 00 00 00 00 64 00 cc cc be
120.89632630348206  : ->BMS     : 31 02 02 | 2d 0f
120.928302526474    : <-BMS     : 31 82 0f | 02 15 00 00 00 01 64 00 00 00 1c 1c 1c 1c 1c
120.99625158309937  : ->FOC     : 20 02 02 | 05 08
121.11600613594055  : ->Dash    : 10 04 0f | 82 00 01 00 1e 40 00 00 00 00 64 00 cc cc be
121.2022659778595   : ->BMS     : 31 02 02 | 2d 0f
121.2332329750061   : <-BMS     : 31 82 0f | 02 15 00 00 00 01 64 00 00 00 1c 1c 1c 1c 1c
121.2968122959137   : ->FOC     : 20 02 02 | 05 08
121.41908097267151  : ->Dash    : 10 04 0f | 82 00 01 00 1e 40 00 00 00 00 64 00 cc cc be
121.4996395111084   : ->BMS     : 31 02 02 | 2d 0f
121.52819180488586  : <-BMS     : 31 82 0f | 02 15 00 00 00 01 64 00 00 00 1c 1c 1c 1c 1c
121.60273671150208  : ->FOC     : 20 02 02 | 05 08
121.71932554244995  : ->Dash    : 10 04 0f | 82 00 01 00 1e 40 00 00 00 00 64 00 cc cc be
121.79963994026184  : ->BMS     : 31 02 02 | 2d 0f
