8.266708135604858   : <-BMS     : 31 82 0f | 02 19 00 00 00 01 64 00 00 00 19 19 19 19 19
8.3396475315094     : ->FOC     : 20 02 02 | 05 08
8.360490560531616   : <-FOC     : 20 82 0c | 30 26 3c 01 00 16 00 00 00 00 08 00
8.454802751541138   : ->Dash    : 10 04 0f | 06 f0 01 00 27 2e 00 00 00 00 64 00 cc cc 00
8.476097106933594   : <-Dash    : 10 84 01 | 01
8.539217472076416   : ->unknown : 70 02 02 | 20 06
8.642780065536499   : ->FOC     : 20 02 02 | 05 08
8.663819551467896   : <-FOC     : 20 82 0c | 30 26 3c 01 00 16 00 00 00 00 08 00
8.755999565124512   : ->Dash    : 10 04 0f | 06 f0 01 00 27 2e 00 00 00 00 64 00 cc cc 00
8.776932716369629   : <-Dash    : 10 84 01 | 01
8.850548028945923   : ->BMS     : 31 02 02 | 2d 0f
8.871659517288208   : <-BMS     : 31 82 0f | 02 19 00 00 00 01 64 00 00 00 19 19 19 19 19
8.945005893707275   : ->FOC     : 20 02 02 | 05 08
8.976624488830566   : <-FOC     : 20 82 0c | 30 26 3c 01 00 16 00 00 00 00 08 00
9.060817003250122   : ->Dash    : 10 04 0f | 06 f0 01 00 27 2e 00 00 00 00 64 00 cc cc 00
9.102699756622314   : <-Dash    : 10 84 01 | 01
9.155603885650635   : ->unknown : 70 02 02 | 20 06
9.249883890151978   : ->FOC     : 20 02 02 | 05 08
9.281676292419434   : <-FOC     : 20 82 0c | 30 26 3c 01 00 16 00 00 00 00 08 00
9.364975929260254   : ->Dash    : 10 04 0f | 06 f0 01 00 27 2e 00 00 00 00 64 00 cc cc 00
9.40667986869812    : <-Dash    : 10 84 01 | 01
9.45906114578247    : ->BMS     : 31 02 02 | 2d 0f
9.480131149291992   : <-BMS     : 31 82 0f | 02 19 00 00 00 01 64 00 00 00 19 19 19 19 19
9.553505420684814   : ->FOC     : 20 02 02 | 05 08
9.585276365280151   : <-FOC     : 20 82 0c | 30 26 3c 01 00 16 00 00 00 00 08 00
9.668788433074951   : ->Dash    : 10 04 0f | 06 f0 01 00 27 2e 00 00 00 00 64 00 cc cc 00
9.699955701828003   : <-Dash    : 10 84 01 | 01
9.761818885803223   : ->unknown : 70 02 02 | 20 06
9.86491346359253    : ->FOC     : 20 02 02 | 05 08
9.886033058166504   : <-FOC     : 20 82 0c | 30 26 3c 01 00 16 00 00 00 00 08 00
9.98056149482727    : ->Dash    : 10 04 0f | 06 f0 01 00 27 2e 00 00 00 00 64 00 cc cc 00
10.002057075500488  : <-Dash    : 10 84 01 | 01
10.065829753875732  : ->BMS     : 31 02 02 | 2d 0f
10.097732782363892  : <-BMS     : 31 82 0f | 02 19 00 00 00 01 64 00 00 00 19 19 19 19 19
10.171337842941284  : ->FOC     : 20 02 02 | 05 08
10.192391633987427  : <-FOC     : 20 82 0c | 30 26 3c 01 00 16 00 00 00 00 08 00
10.286431550979614  : ->Dash    : 10 04 0f | 06 f0 01 00 27 2e 00 00 00 00 64 00 cc cc 00
10.307633399963379  : <-Dash    : 10 84 01 | 01
10.369414567947388  : ->unknown : 70 02 02 | 20 06
10.473517894744873  : ->FOC     : 20 02 02 | 05 08
10.494797468185425  : <-FOC     : 20 82 0c | 30 26 3c 01 00 16 00 00 00 00 08 00
10.589256048202515  : ->Dash    : 10 04 0f | 06 f0 01 00 27 2e 00 00 00 00 64 00 cc cc 00
10.631411075592041  : <-Dash    : 10 84 01 | 01
10.673614025115967  : ->BMS     : 31 02 02 | 2d 0f
10.705509185791016  : <-BMS     : 31 82 0f | 02 19 00 00 00 01 64 00 00 00 19 19 19 19 19
10.777798175811768  : ->FOC     : 20 02 02 | 05 08
10.798933267593384  : <-FOC     : 20 82 0c | 30 26 3c 01 00 16 00 00 00 00 08 00
10.891027450561523  : ->Dash    : 10 04 0f | 06 f0 01 00 27 2e 00 00 00 00 64 00 cc cc 00
10.933125019073486  : <-Dash    : 10 84 01 | 01
10.985714673995972  : ->unknown : 70 02 02 | 20 06
11.080284833908081  : ->FOC     : 20 02 02 | 05 08
11.111953496932983  : <-FOC     : 20 82 0c | 30 26 3c 01 00 16 00 00 00 00 08 00
11.195715427398682  : ->Dash    : 10 04 0f | 06 f0 01 00 27 2e 00 00 00 00 64 00 cc cc 00
11.237147092819214  : <-Dash    : 10 84 01 | 01
11.289103507995605  : ->BMS     : 31 02 02 | 2d 0f
11.31032395362854   : <-BMS     : 31 82 0f | 02 19 00 00 00 01 64 00 00 00 19 19 19 19 19
11.382344245910645  : ->FOC     : 20 02 02 | 05 08
11.413240432739258  : <-FOC     : 20 82 0c | 30 26 3c 01 00 16 00 00 00 00 08 00
11.508522510528564  : ->Dash    : 10 04 0f | 06 f0 01 00 27 2e 00 00 00 00 64 00 cc cc 00
11.529597043991089  : <-Dash    : 10 84 01 | 01
11.592687129974365  : ->unknown : 70 02 02 | 20 06
11.687432527542114  : ->FOC     : 20 02 02 | 05 08
11.718764781951904  : <-FOC     : 20 82 0c | 30 26 3c 01 00 16 00 00 00 00 08 00
11.812575578689575  : ->Dash    : 10 04 0f | 06 f0 01 00 27 2e 00 00 00 00 64 00 cc cc 00
11.83341121673584   : <-Dash    : 10 84 01 | 01
11.895703077316284  : ->BMS     : 31 02 02 | 2d 0f
11.927154064178467  : <-BMS     : 31 82 0f | 02 19 00 00 00 01 64 00 00 00 19 19 19 19 19
12.000006914138794  : ->FOC     : 20 02 02 | 05 08
12.021414279937744  : <-FOC     : 20 82 0c | 30 26 3c 01 00 16 00 00 00 00 08 00
12.116073846817017  : ->Dash    : 10 04 0f | 06 f0 01 00 27 2e 00 00 00 00 64 00 cc cc 00
12.137168645858765  : <-Dash    : 10 84 01 | 01
12.199865102767944  : ->unknown : 70 02 02 | 20 06
12.305044889450073  : ->FOC     : 20 02 02 | 05 08
12.325844526290894  : <-FOC     : 20 82 0c | 30 26 3c 01 00 16 00 00 00 00 08 00
12.419631004333496  : ->Dash    : 10 04 0f | 06 f0 01 00 27 2e 00 00 00 00 64 00 cc cc 00
12.441063404083252  : <-Dash    : 10 84 01 | 01
12.504332542419434  : ->BMS     : 31 02 02 | 2d 0f
12.535914182662964  : <-BMS     : 31 82 0f | 02 19 00 00 00 02 64 00 00 00 19 19 19 19 19
12.610446691513062  : ->FOC     : 20 02 02 | 05 08
12.631578922271729  : <-FOC     : 20 82 0c | 30 26 3c 01 00 16 00 00 00 00 08 00
12.726387023925781  : ->Dash    : 10 04 0f | 06 f0 01 00 27 2e 00 00 00 00 64 00 cc cc 00
12.768491983413696  : <-Dash    : 10 84 01 | 01
12.81106162071228   : ->unknown : 70 02 02 | 20 06
12.914518594741821  : ->FOC     : 20 02 02 | 05 08
12.93536376953125   : <-FOC     : 20 82 0c | 30 26 3c 01 00 16 00 00 00 00 08 00
13.027463436126709  : ->Dash    : 10 04 0f | 06 f0 01 00 27 2e 00 00 00 00 64 00 cc cc 00
13.069719552993774  : <-Dash    : 10 84 01 | 01
13.1118905544281    : ->BMS     : 31 02 02 | 2d 0f
13.143725633621216  : <-BMS     : 31 82 0f | 02 19 00 00 00 01 64 00 00 00 19 19 19 19 19
13.2170250415802    : ->FOC     : 20 02 02 | 05 08
13.238209962844849  : <-FOC     : 20 82 0c | 30 26 3c 01 00 16 00 00 00 00 08 00
13.332748651504517  : ->Dash    : 10 04 0f | 06 f0 01 00 27 2e 00 00 00 00 64 00 cc cc 00
13.364308834075928  : <-Dash    : 10 84 01 | 01
13.415536403656006  : ->unknown : 70 02 02 | 20 06
13.519115924835205  : ->FOC     : 20 02 02 | 05 08
13.550716876983643  : <-FOC     : 20 82 0c | 30 26 3c 01 00 16 00 00 00 00 08 00
13.634833812713623  : ->Dash    : 10 04 0f | 06 f0 01 00 27 2e 00 00 00 00 64 00 cc cc 00
13.666473627090454  : <-Dash    : 10 84 01 | 01
13.729809522628784  : ->BMS     : 31 02 02 | 2d 0f
13.750900506973267  : <-BMS     : 31 82 0f | 02 19 00 00 00 01 64 00 00 00 19 19 19 19 19
13.824123859405518  : ->FOC     : 20 02 02 | 05 08
13.856181144714355  : <-FOC     : 20 82 0c | 30 26 3c 01 00 16 00 00 00 00 08 00
13.939531564712524  : ->Dash    : 10 04 0f | 06 f0 01 00 27 2e 00 00 00 00 64 00 cc cc 00
13.970560073852539  : <-Dash    : 10 84 01 | 01
14.032322883605957  : ->unknown : 70 02 02 | 20 06
14.136190414428711  : ->FOC     : 20 02 02 | 05 08
14.157620668411255  : <-FOC     : 20 82 0c | 30 26 3c 01 00 16 00 00 00 00 08 00
14.252470970153809  : ->Dash    : 10 04 0f | 06 f0 01 00 27 2e 00 00 00 00 64 00 cc cc 00
14.294928312301636  : <-Dash    : 10 84 01 | 01
14.337283372879028  : ->BMS     : 31 02 02 | 2d 0f
14.368544101715088  : <-BMS     : 31 82 0f | 02 19 00 00 00 01 64 00 00 00 19 19 19 19 19
14.440921545028687  : ->FOC     : 20 02 02 | 05 08
14.46182107925415   : <-FOC     : 20 82 0c | 30 26 3c 01 00 16 00 00 00 00 08 00
14.556373357772827  : ->Dash    : 10 04 0f | 06 f0 01 00 27 2e 00 00 00 00 64 00 cc cc 00
14.587985515594482  : <-Dash    : 10 84 01 | 01
14.640319108963013  : ->unknown : 70 02 02 | 20 06
14.745723962783813  : ->FOC     : 20 02 02 | 05 08
14.76687502861023   : <-FOC     : 20 82 0c | 30 26 3c 01 00 16 00 00 00 00 08 00
14.861510753631592  : ->Dash    : 10 04 0f | 06 f0 01 00 27 2e 00 00 00 00 64 00 cc cc 00
14.893256664276123  : <-Dash    : 10 84 01 | 01
14.945616006851196  : ->BMS     : 31 02 02 | 2d 0f
14.977222919464111  : <-BMS     : 31 82 0f | 02 19 00 00 00 01 64 00 00 00 19 19 19 19 19
15.050100088119507  : ->FOC     : 20 02 02 | 05 08
15.070869207382202  : <-FOC     : 20 82 0c | 30 26 3c 01 00 16 00 00 00 00 08 00
15.163243532180786  : ->Dash    : 10 04 0f | 06 f0 01 00 27 2e 00 00 00 00 64 00 cc cc 00
15.195067405700684  : <-Dash    : 10 84 01 | 01
15.247884273529053  : ->unknown : 70 02 02 | 20 06
15.353209257125854  : ->FOC     : 20 02 02 | 05 08
15.37434983253479   : <-FOC     : 20 82 0c | 30 26 3c 01 00 16 00 00 00 00 08 00
15.467883348464966  : ->Dash    : 10 04 0f | 06 f0 01 00 27 2e 00 00 00 00 64 00 cc cc 00
15.499505519866943  : <-Dash    : 10 84 01 | 01
15.552176475524902  : ->BMS     : 31 02 02 | 2d 0f
15.584056615829468  : <-BMS     : 31 82 0f | 02 19 00 00 00 01 64 00 00 00 19 19 19 19 19
15.658000707626343  : ->FOC     : 20 02 02 | 05 08
15.679295539855957  : <-FOC     : 20 82 0c | 30 26 3c 01 00 16 00 00 00 00 08 00
15.77400016784668   : ->Dash    : 10 04 0f | 06 f0 01 00 27 2e 00 00 00 00 64 00 cc cc 00
15.795371532440186  : <-Dash    : 10 84 01 | 01
15.858190774917603  : ->unknown : 70 02 02 | 20 06
15.963627099990845  : ->FOC     : 20 02 02 | 05 08
15.984723329544067  : <-FOC     : 20 82 0c | 30 26 3c 01 00 16 00 00 00 00 08 00
16.078672885894775  : ->Dash    : 10 04 0f | 06 f0 01 00 27 2e 00 00 00 00 64 00 cc cc 00
16.09940481185913   : <-Dash    : 10 84 01 | 01
16.16110587120056   : ->BMS     : 31 02 02 | 2d 0f
16.192652702331543  : <-BMS     : 31 82 0f | 02 19 00 00 00 01 64 00 00 00 19 19 19 19 19
16.264174699783325  : ->FOC     : 20 02 02 | 05 08
16.296160459518433  : <-FOC     : 20 82 0c | 30 26 3c 01 00 16 00 00 00 00 08 00
18.49958610534668   : ->BMS     : 31 02 02 | 09 24
18.54140567779541   : <-BMS     : 31 82 24 | 42 55 53 39 4c 4e 32 53 36 30 39 30 30 30 36 35 2a 29 1d 21 26 0d 1e b0 46 3c 37 32 ec f1 01 30 32 c8 00 e0
18.710760354995728  : ->BMS     : 31 02 02 | 09 24
18.74204683303833   : <-BMS     : 31 82 24 | 42 55 53 39 4c 4e 32 53 36 30 39 30 30 30 36 35 2a 29 1d 21 26 0d 1e b0 46 3c 37 32 ec f1 01 30 32 c8 00 e0
18.910196542739868  : ->BMS     : 31 02 02 | 09 24
18.952295064926147  : <-BMS     : 31 82 24 | 42 55 53 39 4c 4e 32 53 36 30 39 30 30 30 36 35 2a 29 1d 21 26 0d 1e b0 46 3c 37 32 ec f1 01 30 32 c8 00 e0
19.110706090927124  : ->BMS     : 31 02 02 | 09 24
19.15218472480774   : <-BMS     : 31 82 24 | 42 55 53 39 4c 4e 32 53 36 30 39 30 30 30 36 35 2a 29 1d 21 26 0d 1e b0 46 3c 37 32 ec f1 01 30 32 c8 00 e0
19.319488048553467  : ->BMS     : 31 02 02 | 09 24
19.36133646965027   : <-BMS     : 31 82 24 | 42 55 53 39 4c 4e 32 53 36 30 39 30 30 30 36 35 2a 29 1d 21 26 0d 1e b0 46 3c 37 32 ec f1 01 30 32 c8 00 e0
19.51729154586792   : ->BMS     : 31 02 02 | 09 24
19.559372425079346  : <-BMS     : 31 82 24 | 42 55 53 39 4c 4e 32 53 36 30 39 30 30 30 36 35 2a 29 1d 21 26 0d 1e b0 46 3c 37 32 ec f1 01 30 32 c8 00 e0
19.727960109710693  : ->BMS     : 31 02 02 | 2d 0f
19.748725652694702  : <-BMS     : 31 82 0f | 02 19 00 00 00 00 64 00 00 00 19 19 19 19 19
19.928059339523315  : ->BMS     : 31 02 02 | 2d 0f
19.95981788635254   : <-BMS     : 31 82 0f | 02 19 00 00 00 00 64 00 00 00 19 19 19 19 19
20.127917528152466  : ->BMS     : 31 02 02 | 2d 0f
20.15974497795105   : <-BMS     : 31 82 0f | 02 19 00 00 00 00 64 00 00 00 19 19 19 19 19
20.338045835494995  : ->BMS     : 31 02 02 | 2d 0f
20.369148015975952  : <-BMS     : 31 82 0f | 02 19 00 00 00 00 64 00 00 00 19 19 19 19 19
20.5340313911438    : ->BMS     : 31 02 02 | 2d 0f
20.565881967544556  : <-BMS     : 31 82 0f | 02 19 00 00 00 00 64 00 00 00 19 19 19 19 19
20.745267391204834  : ->BMS     : 31 02 02 | 2d 0f
20.76603364944458   : <-BMS     : 31 82 0f | 02 19 00 00 00 00 64 00 00 00 19 19 19 19 19
