34.506535053253174  : ->FOC     : 20 02 02 | 05 09
34.527525186538696  : <-FOC     : 20 82 0e | 30 26 3c 01 00 19 00 00 00 00 08 00 00 02
34.62173295021057   : ->BMS     : 31 02 02 | 2d 0f
34.65375256538391   : <-BMS     : 31 82 0f | 01 e6 00 00 00 03 47 00 01 06 23 23 23 23 22
34.76954102516174   : ->Dash    : 10 04 13 | 06 20 01 00 8b 3c 00 00 00 00 47 06 cc cc 00 00 00 00 00
34.79133176803589   : <-Dash    : 10 84 01 | 01
34.88638710975647   : ->FOC     : 20 02 02 | 05 09
34.90768814086914   : <-FOC     : 20 82 0e | 30 26 3c 01 00 19 00 00 00 00 08 00 00 02
35.002415895462036  : ->unknown : 70 02 02 | 20 06
35.14046883583069   : ->Dash    : 10 04 13 | 06 20 01 00 8b 3c 00 00 00 00 47 06 cc cc 00 00 00 00 00
35.161869525909424  : <-Dash    : 10 84 01 | 01
35.25895857810974   : ->FOC     : 20 02 02 | 05 09
35.29096698760986   : <-FOC     : 20 82 0e | 30 26 3c 01 00 19 00 00 00 00 08 00 00 02
35.38632845878601   : ->BMS     : 31 02 02 | 3c 28
35.419350147247314  : <-BMS     : 31 82 28 | 0e 9e 0e a1 0e a1 0e a3 0e a3 0e a0 0e a3 0e a4 0e a4 0e 91 0e a1 0e a8 0e a8 00 00 00 00 00 00 00 00 00 00 00 00 00 00
35.51666045188904   : ->Dash    : 10 04 13 | 06 20 01 00 8b 3c 00 00 00 00 47 06 cc cc 00 00 00 00 00
35.56654691696167   : <-Dash    : 10 84 01 | 01
35.63932180404663   : ->FOC     : 20 02 02 | 05 09
35.67126393318176   : <-FOC     : 20 82 0e | 30 26 3c 01 00 19 00 00 00 00 08 00 00 02
35.75547194480896   : ->BMS     : 31 02 02 | 02 2b
35.798202991485596  : <-BMS     : 31 82 2b | 14 04 55 55 55 55 01 42 55 4d 39 4c 36 32 53 34 33 35 30 30 35 39 38 2a 29 1d 21 26 10 23 eb 46 3c 37 32 ec f1 01 30 3a 98 01 f2
35.89467000961304   : ->Dash    : 10 04 13 | 06 20 01 00 8b 3c 00 00 00 00 47 06 cc cc 00 00 00 00 00
35.93713665008545   : <-Dash    : 10 84 01 | 01
36.022133111953735  : ->FOC     : 20 02 02 | 05 09
36.044135332107544  : <-FOC     : 20 82 0e | 30 26 3c 01 00 19 00 00 00 00 08 00 00 02
36.139399766922     : ->unknown : 70 02 02 | 20 06
36.27710223197937   : ->Dash    : 10 04 13 | 06 20 01 00 8b 3c 00 00 00 00 47 06 cc cc 00 00 00 00 00
36.31958842277527   : <-Dash    : 10 84 01 | 01
36.39353609085083   : ->FOC     : 20 02 02 | 05 09
36.42543625831604   : <-FOC     : 20 82 0e | 30 26 3c 01 00 19 00 00 00 00 08 00 00 02
36.520771980285645  : ->BMS     : 31 02 02 | 2d 0f
36.54228353500366   : <-BMS     : 31 82 0f | 01 e6 00 00 00 03 47 00 01 06 23 23 23 23 22
36.6613245010376    : ->Dash    : 10 04 13 | 06 20 01 00 8b 3c 00 00 00 00 47 06 cc cc 00 00 00 00 00
36.69276404380798   : <-Dash    : 10 84 01 | 01
36.776926040649414  : ->FOC     : 20 02 02 | 05 09
36.7981812953949    : <-FOC     : 20 82 0e | 30 26 3c 01 00 19 00 00 00 00 08 00 00 02
36.89335656166077   : ->unknown : 70 02 02 | 20 06
37.03148436546326   : ->Dash    : 10 04 13 | 06 20 01 00 8b 3c 00 00 00 00 47 06 cc cc 00 00 00 00 00
37.06277585029602   : <-Dash    : 10 84 01 | 01
37.15823197364807   : ->FOC     : 20 02 02 | 05 09
37.179423570632935  : <-FOC     : 20 82 0e | 30 26 3c 01 00 19 00 00 00 00 08 00 00 02
37.275501012802124  : ->BMS     : 31 02 02 | 3c 28
37.31785321235657   : <-BMS     : 31 82 28 | 0e 9e 0e a3 0e a0 0e a4 0e a3 0e a1 0e a3 0e a6 0e a6 0e 91 0e a3 0e a8 0e a6 00 00 00 00 00 00 00 00 00 00 00 00 00 00
37.4130585193634    : ->Dash    : 10 04 13 | 06 20 01 00 8b 3c 00 00 00 00 47 06 cc cc 00 00 00 00 00
