30.235097885131836  : <-BMS     : 31 82 0f | 02 15 00 00 00 00 64 00 00 00 1e 1e 1e 1e 1d
30.34676957130432   : ->Dash    : 10 04 0f | 06 20 01 00 2a 53 00 00 00 00 64 00 cc cc 00
30.47368025779724   : ->FOC     : 20 02 02 | 05 08
30.505346536636353  : <-FOC     : 20 82 0c | 30 26 3c 01 00 19 00 00 00 00 08 00
30.596853494644165  : ->unknown : 70 02 02 | 20 06
30.72841477394104   : ->Dash    : 10 04 0f | 06 20 01 00 2a 53 00 00 00 00 64 00 cc cc 00
30.77077293395996   : <-Dash    : 10 84 01 | 01
30.847029447555542  : ->FOC     : 20 02 02 | 05 08
30.88014841079712   : <-FOC     : 20 82 0c | 30 26 3c 01 00 19 00 00 00 00 08 00
30.971514225006104  : ->BMS     : 31 02 02 | 3c 28
31.003504753112793  : <-BMS     : 31 82 28 | 10 09 10 0c 10 09 10 0d 10 0d 10 09 10 0d 10 0d 10 0d 0f fa 10 0c 10 11 10 11 00 00 00 00 00 00 00 00 00 00 00 00 00 00
31.106837272644043  : ->Dash    : 10 04 0f | 06 20 01 00 2a 53 00 00 00 00 64 00 cc cc 00
31.14917540550232   : <-Dash    : 10 84 01 | 01
31.218477487564087  : ->FOC     : 20 02 02 | 05 08
31.251570224761963  : <-FOC     : 20 82 0c | 30 26 3c 01 00 19 00 00 00 00 08 00
31.342835187911987  : ->BMS     : 31 02 02 | 02 2b
31.385300159454346  : <-BMS     : 31 82 2b | 14 04 55 55 55 55 01 42 55 4d 39 4c 36 32 53 34 33 35 30 30 35 39 38 2a 29 1d 21 26 10 23 eb 46 3c 37 32 ec f1 01 30 3a 98 01 f6
31.48046112060547   : ->Dash    : 10 04 0f | 06 20 01 00 2a 53 00 00 00 00 64 00 cc cc 00
31.52282428741455   : <-Dash    : 10 84 01 | 01
31.603250741958618  : ->FOC     : 20 02 02 | 05 08
31.624601125717163  : <-FOC     : 20 82 0c | 30 26 3c 01 00 19 00 00 00 00 08 00
31.715009212493896  : ->unknown : 70 02 02 | 20 06
31.854522228240967  : ->Dash    : 10 04 0f | 06 20 01 00 2a 53 00 00 00 00 64 00 cc cc 00
31.868995904922485  : <-Dash    : 10 84 01 | 01
31.96916127204895   : ->FOC     : 20 02 02 | 05 08
32.00064420700073   : <-FOC     : 20 82 0c | 30 26 3c 01 00 19 00 00 00 00 08 00
32.09092998504639   : ->BMS     : 31 02 02 | 2d 0f
32.12281942367554   : <-BMS     : 31 82 0f | 02 15 00 00 00 00 64 00 00 00 1e 1e 1e 1e 1d
32.22816300392151   : ->Dash    : 10 04 0f | 06 20 01 00 2a 53 00 00 00 00 64 00 cc cc 00
32.249356269836426  : <-Dash    : 10 84 01 | 01
32.3424186706543    : ->FOC     : 20 02 02 | 05 08
32.37461733818054   : <-FOC     : 20 82 0c | 30 26 3c 01 00 19 00 00 00 00 08 00
32.4623122215271    : ->unknown : 70 02 02 | 20 06
32.596654653549194  : ->Dash    : 10 04 0f | 06 20 01 00 2a 53 00 00 00 00 64 00 cc cc 00
32.63180232048035   : <-Dash    : 10 84 01 | 01
32.71944713592529   : ->FOC     : 20 02 02 | 05 08
32.740434885025024  : <-FOC     : 20 82 0c | 30 26 3c 01 00 19 00 00 00 00 08 00
32.841614723205566  : ->BMS     : 31 02 02 | 3c 28
32.875515937805176  : <-BMS     : 31 82 28 | 10 09 10 0c 10 09 10 0c 10 0f 10 09 10 0d 10 0f 10 0d 0f f8 10 0d 10 11 10 12 00 00 00 00 00 00 00 00 00 00 00 00 00 00
32.9717583656311    : ->Dash    : 10 04 0f | 06 20 01 00 2a 53 00 00 00 00 64 00 cc cc 00
33.006613969802856  : <-Dash    : 10 84 01 | 01
33.090694427490234  : ->FOC     : 20 02 02 | 05 08
33.12291359901428   : <-FOC     : 20 82 0c | 30 26 3c 01 00 19 00 00 00 00 08 00
33.217665672302246  : ->BMS     : 31 02 02 | 02 2b
33.2530562877655    : <-BMS     : 31 82 2b | 14 04 55 55 55 55 01 42 55 4d 39 4c 36 32 53 34 33 35 30 30 35 39 38 2a 29 1d 21 26 10 23 eb 46 3c 37 32 ec f1 01 30 3a 98 01 f6
33.40235495567322   : ->Dash    : 10 04 0f | 06 20 01 00 2a 53 00 00 00 00 64 00 cc cc 00
33.40235495567322   : <-Dash    : 10 84 01 | 01
33.47067046165466   : ->FOC     : 20 02 02 | 05 08
33.491984128952026  : <-FOC     : 20 82 0c | 30 26 3c 01 00 19 00 00 00 00 08 00
33.583606481552124  : ->unknown : 70 02 02 | 20 06
33.72059774398804   : ->Dash    : 10 04 0f | 06 20 01 00 2a 53 00 00 00 00 64 00 cc cc 00
33.75256848335266   : <-Dash    : 10 84 01 | 01
33.84018921852112   : ->FOC     : 20 02 02 | 05 08
33.861265897750854  : <-FOC     : 20 82 0c | 30 26 3c 01 00 19 00 00 00 00 08 00
33.956926107406616  : ->BMS     : 31 02 02 | 2d 0f
33.99549174308777   : <-BMS     : 31 82 0f | 02 15 00 00 00 00 64 00 00 00 1e 1e 1e 1e 1d
34.10084867477417   : ->Dash    : 10 04 0f | 06 20 01 00 2a 53 00 00 00 00 64 00 cc cc 00
34.1334502696991    : <-Dash    : 10 84 01 | 01
34.20986866950989   : ->FOC     : 20 02 02 | 05 08
34.23477816581726   : <-FOC     : 20 82 0c | 30 26 3c 01 00 19 00 00 00 00 08 00
34.33679986000061   : ->unknown : 70 02 02 | 20 06
34.46603012084961   : ->Dash    : 10 04 0f | 06 20 01 00 2a 53 00 00 00 00 64 00 cc cc 00
34.50822353363037   : <-Dash    : 10 84 01 | 01
34.58692216873169   : ->FOC     : 20 02 02 | 05 08
34.60826230049133   : <-FOC     : 20 82 0c | 30 26 3c 02 00 19 00 00 00 00 08 00
34.70644664764404   : ->BMS     : 31 02 02 | 3c 28
34.748796224594116  : <-BMS     : 31 82 28 | 10 09 10 0c 10 09 10 0d 10 0d 10 09 10 0d 10 0f 10 0d 0f fa 10 0d 10 11 10 0f 00 00 00 00 00 00 00 00 00 00 00 00 00 00
34.84506368637085   : ->Dash    : 10 04 0f | 06 20 02 00 2a 53 00 00 00 00 64 00 cc cc 00
34.88022589683533   : <-Dash    : 10 84 01 | 01
34.95686936378479   : ->FOC     : 20 02 02 | 05 08
34.98889946937561   : <-FOC     : 20 82 0c | 30 26 3c 02 00 19 00 00 00 00 08 00
35.08418297767639   : ->BMS     : 31 02 02 | 02 2b
35.116238832473755  : <-BMS     : 31 82 2b | 14 04 55 55 55 55 01 42 55 4d 39 4c 36 32 53 34 33 35 30 30 35 39 38 2a 29 1d 21 26 10 23 eb 46 3c 37 32 ec f1 01 30 3a 98 01 f6
35.2193808555603    : ->Dash    : 10 04 0f | 06 20 02 00 2a 53 00 00 00 00 64 00 cc cc 00
35.26264142990112   : <-Dash    : 10 84 01 | 01
35.336957931518555  : ->FOC     : 20 02 02 | 05 08
35.45886588096619   : ->unknown : 70 02 02 | 20 06
35.59288549423218   : ->Dash    : 10 04 0f | 06 20 02 00 2a 53 00 00 00 00 64 00 cc cc 00
35.614264249801636  : <-Dash    : 10 84 01 | 01
35.71075630187988   : ->FOC     : 20 02 02 | 05 08
35.732316732406616  : <-FOC     : 20 82 0c | 30 26 3c 02 00 19 00 00 00 00 08 00
35.827706813812256  : ->BMS     : 31 02 02 | 2d 0f
35.859371185302734  : <-BMS     : 31 82 0f | 02 15 00 00 00 00 64 00 00 00 1e 1e 1e 1e 1d
