30.4516179561615    : ->FOC     : 20 01 01 | 03
35.79201817512512   : <-BMS     : 31 82 0f | 01 e6 00 00 00 03 47 00 01 06 23 23 23 23 23
35.867531299591064  : ->FOC     : 20 02 02 | 05 08
35.8889045715332    : <-FOC     : 20 82 0c | 30 26 3c 01 00 21 00 00 00 00 08 00
35.98361372947693   : ->Dash    : 10 04 0f | 06 00 01 00 1e 40 00 00 00 00 47 06 cc cc 00
36.04768514633179   : <-Dash    : 10 84 01 | ce
36.06891584396362   : ->BMS     : 31 02 02 | 2d 0f
36.101911783218384  : <-BMS     : 31 82 0f | 01 e6 00 00 00 03 47 00 01 06 23 23 23 23 23
36.16675066947937   : ->FOC     : 20 02 02 | 05 08
36.188252449035645  : <-FOC     : 20 82 0c | 30 26 3c 01 00 21 00 00 00 00 08 00
36.283377170562744  : ->Dash    : 10 04 0f | 06 00 01 00 1e 40 00 00 00 00 47 06 cc cc 00
36.294349193573     : <-Dash    : 10 84 01 | ce
36.3674590587616    : ->BMS     : 31 02 02 | 2d 0f
36.39930510520935   : <-BMS     : 31 82 0f | 01 e6 00 00 00 03 47 00 01 06 23 23 23 23 23
36.4731285572052    : ->FOC     : 20 02 02 | 05 08
36.494487047195435  : <-FOC     : 20 82 0c | 30 26 3c 01 00 21 00 00 00 00 08 00
36.589274883270264  : ->Dash    : 10 04 0f | 06 00 01 00 1e 40 00 00 00 00 47 06 cc cc 00
36.59986138343811   : <-Dash    : 10 84 01 | ce
36.665241718292236  : ->BMS     : 31 02 02 | 2d 0f
36.697558879852295  : <-BMS     : 31 82 0f | 01 e6 00 00 00 03 47 00 01 06 23 23 23 23 23
36.77284121513367   : ->FOC     : 20 02 02 | 05 08
36.794424533843994  : <-FOC     : 20 82 0c | 30 26 3c 01 00 21 00 00 00 00 08 00
36.889949560165405  : ->Dash    : 10 04 0f | 06 00 01 00 1e 40 00 00 00 00 47 06 cc cc 00
36.90084505081177   : <-Dash    : 10 84 01 | ce
37.00244474411011   : ->BMS     : 31 02 02 | 2d 0f
37.00244474411011   : <-BMS     : 31 82 0f | 01 e6 00 00 00 03 47 00 01 06 23 23 23 23 23
37.07137084007263   : ->FOC     : 20 02 02 | 05 08
