36.51464343070984   : ->Dash    : 10 04 0f | 06 20 01 00 2a 53 00 00 00 00 00 00 cc cc 00
36.53800940513611   : <-Dash    : 10 84 01 | 01
36.63327431678772   : ->FOC     : 20 02 02 | 05 08
36.65490102767944   : <-FOC     : 20 82 0c | 30 26 3c 01 00 19 00 00 00 00 88 00
36.7456533908844    : ->BMS     : 31 02 02 | 3c 28
36.873706102371216  : ->Dash    : 10 04 0f | 06 20 01 00 2a 53 00 00 00 00 00 00 cc cc 00
36.90564846992493   : <-Dash    : 10 84 01 | 01
36.99689030647278   : ->FOC     : 20 02 02 | 05 08
37.0199921131134    : <-FOC     : 20 82 0c | 30 26 3c 01 00 19 00 00 00 00 88 00
37.119367599487305  : ->BMS     : 31 02 02 | 02 2b
37.241856813430786  : ->Dash    : 10 04 0f | 06 20 01 00 2a 53 00 00 00 00 00 00 cc cc 00
37.28429341316223   : <-Dash    : 10 84 01 | 01
37.358529567718506  : ->FOC     : 20 06 01 | 11
37.36935305595398   : <-FOC     : 20 86 00 | 
37.48211479187012   : ->FOC     : 20 02 02 | 05 08
37.50404644012451   : <-FOC     : 20 82 0c | 30 26 3c 01 00 19 00 00 00 00 88 00
37.59670400619507   : ->unknown : 70 02 02 | 20 06
37.72518539428711   : ->Dash    : 10 04 0f | 06 20 01 00 2a 53 00 00 00 00 00 00 cc cc 00
37.757577896118164  : <-Dash    : 10 84 01 | 01
37.84677815437317   : ->FOC     : 20 02 02 | 05 08
37.86969804763794   : <-FOC     : 20 82 0c | 30 26 3c 01 00 19 00 00 00 00 88 00
37.95869421958923   : ->BMS     : 31 02 02 | 2d 0f
38.09027552604675   : ->Dash    : 10 04 0f | 06 20 01 00 2a 53 00 00 00 00 00 00 cc cc 00
38.1116783618927    : <-Dash    : 10 84 01 | 01
38.212327003479004  : ->FOC     : 20 02 02 | 05 08
38.23390507698059   : <-FOC     : 20 82 0c | 30 26 3c 01 00 19 00 00 00 00 88 00
38.325140953063965  : ->unknown : 70 02 02 | 20 06
38.45189833641052   : ->Dash    : 10 04 0f | 06 20 01 00 2a 53 00 00 00 00 00 00 cc cc 00
38.48401737213135   : <-Dash    : 10 84 01 | 01
38.57008171081543   : ->FOC     : 20 06 01 | 11
38.58077430725098   : <-FOC     : 20 86 00 | 
38.72399353981018   : ->FOC     : 20 02 02 | 05 08
38.72399353981018   : <-FOC     : 20 82 0c | 30 26 3c 01 00 19 00 00 00 00 88 00
38.80228352546692   : ->BMS     : 31 02 02 | 3c 28
38.93657851219177   : ->Dash    : 10 04 0f | 06 20 01 00 2a 53 00 00 00 00 00 00 cc cc 00
38.96841812133789   : <-Dash    : 10 84 01 | 01
39.05228137969971   : ->FOC     : 20 02 02 | 05 08
39.073346853256226  : <-FOC     : 20 82 0c | 30 26 3c 01 00 19 00 00 00 00 88 00
39.16594743728638   : ->BMS     : 31 02 02 | 02 2b
39.29430556297302   : ->Dash    : 10 04 0f | 06 20 01 00 2a 53 00 00 00 00 00 00 cc cc 00
39.33662509918213   : <-Dash    : 10 84 01 | 01
39.419193744659424  : ->FOC     : 20 02 02 | 05 08
39.44050073623657   : <-FOC     : 20 82 0c | 30 26 3c 01 00 19 00 00 00 00 88 00
39.53603267669678   : ->unknown : 70 02 02 | 20 06
39.66293954849243   : ->Dash    : 10 04 0f | 06 20 01 00 2a 53 00 00 00 00 00 00 cc cc 00
39.695305585861206  : <-Dash    : 10 84 01 | 01
39.784268856048584  : ->FOC     : 20 06 01 | 11
39.79637050628662   : <-FOC     : 20 86 00 | 
39.90240502357483   : ->FOC     : 20 02 02 | 05 08
39.92365026473999   : <-FOC     : 20 82 0c | 30 26 3c 01 00 19 00 00 00 00 88 00
40.014897108078     : ->BMS     : 31 02 02 | 2d 0f
40.14328622817993   : ->Dash    : 10 04 0f | 06 20 01 00 2a 53 00 00 00 00 00 00 cc cc 00
40.169782400131226  : <-Dash    : 10 84 01 | 01
40.269445180892944  : ->FOC     : 20 02 02 | 05 08
40.29087424278259   : <-FOC     : 20 82 0c | 30 26 3c 01 00 19 00 00 00 00 88 00
40.38610911369324   : ->unknown : 70 02 02 | 20 06
40.50841522216797   : ->Dash    : 10 04 0f | 06 20 01 00 2a 53 00 00 00 00 00 00 cc cc 00
40.541340589523315  : <-Dash    : 10 84 01 | 01
40.62864875793457   : ->FOC     : 20 02 02 | 05 08
40.661003828048706  : <-FOC     : 20 82 0c | 30 26 3c 01 00 19 00 00 00 00 88 00
40.74744153022766   : ->BMS     : 31 02 02 | 3c 28
40.87765693664551   : ->Dash    : 10 04 0f | 06 20 01 00 2a 53 00 00 00 00 00 00 cc cc 00
